"land_lieferant";"sprache";"hauptlieferant";"lieferantennummer";"kontakt_lieferant";"artikelnummer_heine";"artikelbeschreibung";"1_langbeschreibung";"2_langbeschreibung";"artikelbeschreibung_englisch";"1_langbeschreibung_englisch";"2_langbeschreibung_englisch";"einheit";"einheit_deutsch";"einheit_englisch";"artikelnummer_lieferant";"gewicht_je_einheit";"ursprungsland";"zolltarifnummer"
"China";"Englisch";"Microelettrica HEINE (Suzhou) Co., Ltd";99998;"gao.kena@microelettrica.com";"02 38236 0 0400";"Isolierplatte 1 GWS 267-60x30";0;0;"insulating plate1GWS 267-60x30";"53,5-0,3 x 213 x 0,5";0;"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"Microelettrica HEINE (Suzhou) Co., Ltd";99998;"gao.kena@microelettrica.com";"02 38236 0 0430";"Isolierplatte 1 GWS 287-60x30";0;0;"insulating plate1GWS 287-60x30";0;0;"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"Microelettrica HEINE (Suzhou) Co., Ltd";99998;"gao.kena@microelettrica.com";"02 38236 0 0500";"Isolierplatte 1 GWS 337-60x30";0;0;"insulating plate1GWS 337-60x30";0;0;"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"Microelettrica HEINE (Suzhou) Co., Ltd";99998;"gao.kena@microelettrica.com";"02 38237 0 0200";"Isolierplatte 2 GWS 167-60x30";0;0;"insulating plate2GWS 167-60x30";0;0;"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"Microelettrica HEINE (Suzhou) Co., Ltd";99998;"gao.kena@microelettrica.com";"02 38237 0 0300";"Isolierplatte 2 GWS 217-60x30";0;0;"insulating plate2GWS 217-60x30";0;0;"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"Microelettrica HEINE (Suzhou) Co., Ltd";99998;"gao.kena@microelettrica.com";"02 38237 0 0400";"Isolierplatte 2 GWS 267-60x30";0;0;"insulating plate2GWS 267-60x30";0;0;"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"Microelettrica HEINE (Suzhou) Co., Ltd";99998;"gao.kena@microelettrica.com";"02 38237 0 0430";"Isolierplatte 2 GWS 287-60x30";0;0;"insulating plate2GWs 287-60x30";0;0;"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"Microelettrica HEINE (Suzhou) Co., Ltd";99998;"gao.kena@microelettrica.com";"02 38237 0 0500";"Isolierplatte 2 GWS 337-60x30";0;0;"insulating plate2GWS 337-60x30";0;0;"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"Microelettrica HEINE (Suzhou) Co., Ltd";99998;"gao.kena@microelettrica.com";"02 38240 0";"Verschlussplatte 2-Loch 60x30";0;0;"closing panel 2-hole 60x30";0;0;"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"Microelettrica HEINE (Suzhou) Co., Ltd";99998;"gao.kena@microelettrica.com";"82000081 0040";"Abstandsbolzen B M8x40 SW13";"Innen/Außengew. StZn";0;"distance bolt B M8x40 SW13";"StZn";"order no.:";"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"Microelettrica HEINE (Suzhou) Co., Ltd";99998;"gao.kena@microelettrica.com";84119999;"Mikanit 1,0 RET 500°C";"1,0x1000x1200";"RONGTAI, R-5660-X, E231452";"mica 1,0 RET 500°C";"1,0x1000x1200";"RONGTAI, R-5660-X, E231452";"Tfl.";"Tafel";"slab";"";"";"";""
"China";"Englisch";"Microelettrica HEINE (Suzhou) Co., Ltd";99998;"gao.kena@microelettrica.com";84120001;"Mikanit 2,0 RET 500°C";"2,0x1000x1200";"RONGTAI, R-5660-X, E231452";"mica 2,0 RET 500°C";"2,0x1000x1200";0;"Tfl.";"Tafel";"slab";"";"";"";""
"China";"Englisch";"Microelettrica HEINE (Suzhou) Co., Ltd";99998;"gao.kena@microelettrica.com";84120018;"Mikanitrohr 12±0,3x9±0,2x1000";"Mikanit ROS 27 470";0;"mica tube 12±0,3x9±0,2x1000";"Mikanit ROS 27 470";"K-Therm AS 600 M /Semicavolt";"m";"m";"m";"";"";"";""
"China";"Englisch";"Microelettrica HEINE (Suzhou) Co., Ltd";99998;"gao.kena@microelettrica.com";84120019;"Mikanitrohr ø12,5+0,5x10,5x950";"Mikanit ROS 27 470";0;"mica tube 12,5+0,5x10,5x950";"Mikanit ROS 27 470";0;"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"Microelettrica HEINE (Suzhou) Co., Ltd";99998;"gao.kena@microelettrica.com";"02 31602 1";"Wicklungstr vormont. verstärkt";"GWS 407-60x30";0;"winding frame premounted";"GWS 407-60x30 complete";0;"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"Microelettrica HEINE (Suzhou) Co., Ltd";99998;"gao.kena@microelettrica.com";"02 38237 0 1400";"Isolierplatte 2 GWS 267-60x30";"Gehäusewandstärke: 3mm";0;"insulating plate2GWS 267-60x30";"Housing wall thickness: 3mm";0;"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"Microelettrica HEINE (Suzhou) Co., Ltd";99998;"gao.kena@microelettrica.com";"02 38237 0 1500";"Isolierplatte 2 GWS 337-60x30";"Gehäusewandstärke: 3mm";0;"insulating plate2GWS 337-60x30";"Housing wall thickness: 3mm";0;"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"Microelettrica HEINE (Suzhou) Co., Ltd";99998;"gao.kena@microelettrica.com";"02 38237 0 1600";"Isolierplatte 2 GWS 407-60x30";"Gehäusewandstärke: 3mm";0;"insulating plate2GWS 407-60x30";"Housing wall thickness: 3mm";0;"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"Microelettrica HEINE (Suzhou) Co., Ltd";99998;"gao.kena@microelettrica.com";"02 38237 0 2400";"Isolierplatte 2 GWS 267-60x30";"für Reihenschaltung 120x30";"Gehäusewandstärke: 3mm";"insulating plate2GWS 267-60x30";"for series connection 120x30";"Housing wall thickness: 3mm";"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"Microelettrica HEINE (Suzhou) Co., Ltd";99998;"gao.kena@microelettrica.com";"02 38237 0 2600";"Isolierplatte 2 GWS 407-60x30";"für Reihenschaltung 120x30";"Gehäusewandstärke: 3mm";"insulating plate2GWS 407-60x30";"for series connection 120x30";"Housing wall thickness: 3mm";"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"Microelettrica HEINE (Suzhou) Co., Ltd";99998;"gao.kena@microelettrica.com";"84120015 0001";"Mikanitrohr ø17x12,5x1000";"ø17±0,3/12,5±0,2/1000";"R-5660-X, E231452";"tube 17/12,5/1000";"ø17±0,3/12,5±0,2/1000";"UL-File E231452, R-5660-X";"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"Microelettrica HEINE (Suzhou) Co., Ltd";99998;"gao.kena@microelettrica.com";"02 10607 0 0195";"Mikanitrohr ø17x12,5x195";0;0;"micanite tube ø17x12,5x195";0;0;"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"Microelettrica HEINE (Suzhou) Co., Ltd";99998;"gao.kena@microelettrica.com";"02 10607 0 0595";"Mikanitrohr ø17x12,5x595";0;0;"Micanite tube ø17x12,5x595";0;0;"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"Microelettrica HEINE (Suzhou) Co., Ltd";99998;"gao.kena@microelettrica.com";"02 10607 0 0742";"Mikanitrohr ø17x12,5x742";0;0;"micanite tube ø17x12,5x742";0;0;"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"Microelettrica HEINE (Suzhou) Co., Ltd";99998;"gao.kena@microelettrica.com";"02 37000 0 0001";"Streifen 110-80x15";0;0;"plate 110-80x15";0;0;"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"Microelettrica HEINE (Suzhou) Co., Ltd";99998;"gao.kena@microelettrica.com";"02 37001 0 0001";"Zwischenplatte 110-80x15";0;0;"inner plate  110-80x15";0;0;"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"Microelettrica HEINE (Suzhou) Co., Ltd";99998;"gao.kena@microelettrica.com";"02 37001 0 0002";"Zwischenplatte 130-80x15";0;0;"inner plate  130-80x15";0;0;"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"Microelettrica HEINE (Suzhou) Co., Ltd";99998;"gao.kena@microelettrica.com";"02 37002 0 0001";"Isolierplatte-1 110-80x15";0;0;"insulating plate-1 110-80x15";0;0;"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"Microelettrica HEINE (Suzhou) Co., Ltd";99998;"gao.kena@microelettrica.com";"02 37011 0 0001";"Isolierplatte-2s 110-80x15";0;0;"insulating plate-2s 110-80x15";0;0;"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"Microelettrica HEINE (Suzhou) Co., Ltd";99998;"gao.kena@microelettrica.com";"02 38242 0";"Zentrierplatte 80x20";"Abstand 7,6";0;"centering plate 80x20";"clearance 7,6";0;"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"Microelettrica HEINE (Suzhou) Co., Ltd";99998;"gao.kena@microelettrica.com";"02 33005 0 0007";"Isolierplatte 2, 300-40x20";0;0;"insulating plate 2, 300-40x20";0;0;"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"Microelettrica HEINE (Suzhou) Co., Ltd";99998;"gao.kena@microelettrica.com";"02 33006 0";"Verschlussplatte für 40x20";"2-Loch";0;"breech plate for 40x20";"2-hole";0;"Stck";"Stück";"pcs.";"160-321-84136-b";"";"";""
"China";"Englisch";"Microelettrica HEINE (Suzhou) Co., Ltd";99998;"gao.kena@microelettrica.com";"02 10607 0 0742";"Mikanitrohr ø17x12,5x742";0;0;"micanite tube ø17x12,5x742";0;0;"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"Narciss & Taurus";11111;"f.gozenc@narciss-taurus.de";"02 3700053234 0 0002";"Streifen 130-80x15";0;0;"plate 130-80x15";0;0;"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"Narciss & Taurus";11111;"f.gozenc@narciss-taurus.de";"02 33006 23420";"Verschlussplatte für 40x20";"2-Loch";0;"breech plate for 40x20";"2-hole";0;"Stck";"Stück";"pcs.";"160-321-84136-b";"";"";""
"China";"Englisch";"Narciss & Taurus";11111;"f.gozenc@narciss-taurus.de";"02 001723421 022 0088";"Gewindestab M10x650x25x25";"aus Rd. 10 h9-EN 10278-1.4305";"Gewinde geschnitten";0;"Rd. 10 h9-EN 10278-1.4305";"thread cutted";"Stck";"Stück";"pcs.";1064;"";"";""
"China";"Englisch";"Narciss & Taurus";11111;"f.gozenc@narciss-taurus.de";841200033320;"Mikanit 0,5 RET 500°C";"0,5x1000x1130";"RONGTAI, R-5660-H1 (E231452)";"mica 0,5 RET 500°C";"0,5x1000x1130";"RONGTAI, R-5660-H1 (E231452)";"Tfl.";"Tafel";"slab";"";"";"";""
"China";"Englisch";"Narciss & Taurus";11111;"f.gozenc@narciss-taurus.de";"02 001711231 044 0088";"Gewindestab M10x650x25x25";"aus Rd. 10 h9-EN 10278-1.4305";"Gewinde geschnitten";0;"Rd. 10 h9-EN 10278-1.4305";"thread cutted";"Stck";"Stück";"pcs.";1064;"";"";""
"China";"Englisch";"Narciss & Taurus";11111;"f.gozenc@narciss-taurus.de";"02 382371312 110 2600";"Isolierplatte 2 GWS 407-60x30";"für Reihenschaltung 120x30";"Gehäusewandstärke: 3mm";"insulating plate2GWS 407-60x30";"for series connection 120x30";"Housing wall thickness: 3mm";"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"Isolbepa s.r.l.";"I19159";"commerciale@isolbepa.it";"02 33000 0 0004";"Streifen 267-40x20";0;0;"stripe 267-40x20";0;0;"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"Isolbepa s.r.l.";"I19159";"commerciale@isolbepa.it";"02 33001 0 0004";"Zwischenplatte 267-40x20";0;0;"Inner Plate 267-40x20";0;0;"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"Isolbepa s.r.l.";"I19159";"commerciale@isolbepa.it";"02 33002 0 0004";"Isolierplatte 1, 267-40x20";0;0;"insulating plate 1, 267-40x20";0;0;"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"Isolbepa s.r.l.";"I19159";"commerciale@isolbepa.it";"02 33008 0";"Verschlussplatte für 40x20";0;0;"breech plate for 40x20";0;0;"Stck";"Stück";"pcs.";"";"";"";""
"China";"Englisch";"Fritz Diel GmbH & Co.";17237;"b.walter@diel.de";84120000;"Mikanit 0,5 RET 500°C";"0,5x1000x1130";"RONGTAI, R-5660-H1 (E231452)";"mica 0,5 RET 500°C";"0,5x1000x1130";"RONGTAI, R-5660-H1 (E231452)";"Tfl.";"Tafel";"slab";"";"";"";""
"China";"Englisch";"diakoniewert  Diakonische Behindertenhilfe";35055;"a.haase@diakoniewert.de";"02 00159 0 0012";"Hülse Ý10xb=1,5xl=44,3 ±0,05";"AlMgSi1 F30  gratfrei";0;"sleeve Ý10xb=1,5xl=44,3 ±0,05";"AlMgSi1 F30 free from burrs";0;"Stck";"Stück";"pcs.";"";"";"";""
